,Total Programs:,160,
ERASMUS MUNDUS SCHOLARSHIPS DATA 2022,,,
Program Name,Link,Website,Locations
,,,
European Master in Law and Economics,EMLE - http://www.emle.org/,http://www.emle.org/,"Netherlands, France, Spain, Belgium, Israel, Germany, India, Italy, Poland"
Functional Advanced Materials Engineering with Artificial Intelligence for Sustainability,FAMEAIS - https://www.fame-master.eu/,https://www.fame-master.eu/,"Belgium, France, Portugal, Germany"
"Global MINDS European Master in the Psychology of Global Mobility, Inclusion and Diversity in Society",Global-MINDS - https://global-minds.eu,https://global-minds.eu,"Ireland, Portugal, Poland, Norway"
Public Sector Innovation and eGovernance,PIONEER - https://pioneer-master.eu/,https://pioneer-master.eu/,"Belgium, Germany, Estonia"
International Master in Technology and Management for Circular Economy,IMATEC - https://imatec-mundus.eu/,https://imatec-mundus.eu/,"Czechia, Spain, Finland"
Joint Master's Degree Programme in Service Design Strategies and Innovations,SDSI - https://www.sdsi.ma/,https://www.sdsi.ma/,"Latvia, Finland, Estonia"
Education in Museums and Heritage,EDUMaH - https://www.edumah-erasmusmundus.eu/,https://www.edumah-erasmusmundus.eu/,"United Kingdom, Estonia, Netherlands, Malta"
International Master in Brain and Data Science,NeuroData - https://www.neurodata-master.org/,https://www.neurodata-master.org/,"Israel, Italy, Portugal, Croatia, Netherlands, Finland"
Religious Diversity in a Globalised World,ReD Global - https://www.red-global.eu/,https://www.red-global.eu/,"Netherlands, Spain, Portugal"
International Master of Science in Fire Safety Engineering,IMFSE -https://imfse.be/,https://imfse.be/,"Belgium, Sweden, United Kingdom, Spain"
Erasmus Mundus Joint Master in Planetary Geosciences,GeoPlaNet - https://geoplanet-impg.eu,https://geoplanet-impg.eu,"France, Italy, Portugal"
Managing Art and Cultural Heritage in Global Markets,MAGMa - https://www.magma-erasmusmundus.eu/,https://www.magma-erasmusmundus.eu/,"United Kingdom, Portugal, Netherlands"
Governance & Administration of Leisure and Sports International Master,GOALS - http://www.master-goals.eu/,http://www.master-goals.eu/,"France, Portugal, Lithuania, Poland, Luxembourg"
"Coastal Hazards – Risks, Climate Change Impacts and Adaptation",COASTHazar - https://www.coasthazar.eu,https://www.coasthazar.eu,"Netherlands, Portugal, Spain"
Master of Science in Coastal and Marine Engineering and Management,CoMEM+ - https://www.ntnu.edu/studies/mscomem,https://www.ntnu.edu/studies/mscomem,"Norway, France, Spain, Italy"
Cartography - Mapping for a sustainable world,CARTO - https://cartographymaster.eu/,https://cartographymaster.eu/,"Germany, Austria, Netherlands"
Erasmus Mundus Joint Master in Sustainable Mineral and Metal Processing Engineering,PROMISE - https://www.master-promise.eu/,https://www.master-promise.eu/,"Finland, Austria, Croatia, Chile"
"Techniques, Patrimoine, Territoires de l'Industrie : Histoire, Valorisation, Didactique",TPTI - https://www.tpti.eu/en/,https://www.tpti.eu/en/,"France, Italy, Portugal, Czechia, Spain, Tunisia, Senegal, Japan, Argentina"
"European Master in Law, Data and Artificial Intelligence",EMILDAI - https://emildai.eu,https://emildai.eu,"Ireland, France, Spain, Italy"
Islands and Sustainability,ISLANDS - https://islandsmaster.eu/,https://islandsmaster.eu/,"Netherlands, Greece, Spain, Iceland"
Quantum Technologies and Engineering Erasmus Mundus Master,QuanTEEM - http://www.quanteem.eu,http://www.quanteem.eu,"Germany, Denmark, Russia, France"
Sustainable Biomass and Bioproducts Engineering,Sus2BioEng - https://emjm-sbbe.eu,https://emjm-sbbe.eu,"Poland, Spain, Finland"
"Sustainability in Agriculture, Food Production and Food Technology in the Danube Region - Danube AgriFood Master",DAFM - http://www.agrifoodmaster.eu/,http://www.agrifoodmaster.eu/,"Hungary, Austria, Croatia, Serbia, Romania, Czechia, Slovakia"
EU-CONEXUS Joint Master Programme in Marine Biotechnology,JMPMB - https://www.eu-conexus.eu/en/marine-biotechnology/,https://www.eu-conexus.eu/en/marine-biotechnology/,"Spain, France, Greece, Lithuania, Croatia, Romania"
ChEMoinformaticsplus - Artificial Intelligence in Chemistry,ChEMoinformaticsplus - https://masterchemoinfo.u-strasbg.fr/,https://masterchemoinfo.u-strasbg.fr/,"France, Italy, Slovenia, Portugal, Russia, Israel, Ukraine"
Transnational German Studies Erasmus Mundus Joint Master,TNGS EMJM - https://transnationalgermanstudies.eu/en/programme/,https://transnationalgermanstudies.eu/en/programme/,"Portugal, Luxembourg, Italy, Germany"
QUAntum Research Master-level Education Network,QUARMEN - http://www.master-quarmen.eu/,http://www.master-quarmen.eu/,"France, Portugal, Italy, Canada"
"Master Degree in Sustainable Design, Construction and Management of the Built Environment",MBUILD - http://www.mbuild.eu/,http://www.mbuild.eu/,"Portugal, Spain, Germany"
Master in Astrophysics and Space Science,MASS - https://mass.uniroma2.it/,https://mass.uniroma2.it/,"Italy, Serbia, Germany, France"
Master Program in Advanced Materials Innovative Recycling AMIR EM,AMIR-EM - https://www.amir-master.com/,https://www.amir-master.com/,"France, Germany, Spain, Hungary, Belgium"
European Master in Migration and Intercultural Relations,EMMIR - https://www.emmir.org/,https://www.emmir.org/,"Germany, Norway, Slovenia, Czechia, South Africa, Sudan, Uganda, India"
International Master in Sustainable Drug Discovery,S-DISCO - http://sustainabledrugdiscovery.eu,http://sustainabledrugdiscovery.eu,"Belgium, France, Poland, Netherlands"
Master of Science in Geospatial Technologies,GeoTech - https://mastergeotech.info/,https://mastergeotech.info/,"Germany, Portugal, Spain"
Erasmus Mundus Joint Master in Cybersecurity,CYBERUS - https://cyberus.univ-ubs.fr/en/index.html,https://cyberus.univ-ubs.fr/en/index.html,"France, Luxembourg, Belgium"
European Master in Dynamics of Renewables-based Power Systems,DREAM - https://master-dream.ec-nantes.fr/,https://master-dream.ec-nantes.fr/,"France, Spain, Germany, Romania"
Erasmus Mundus Master Impact Entrepreneurship,EMMIE - http://EMMIE-MASTER.eu,http://EMMIE-MASTER.eu,"Belgium, Lithuania, Croatia"
International Masters in Environmental Technology and Engineering – Consolidation phase,IMETE-C - https://www.imete.eu/,https://www.imete.eu/,"Netherlands, Czechia, Belgium"
European Master in Advanced Structural Analysis and Design using Composite Materials,FRP++ - https://msc-frp.org/,https://msc-frp.org/,"Portugal, Spain, Italy, France"
"CYBER: Joint Master in CYberspace, Behavior and E-theRapy",CYBER - http://www.cyber-t.eu/,http://www.cyber-t.eu/,"Portugal, Spain, France"
Erasmus Mundus Joint Master Degree in Economics of Globalisation and European Integration,EGEI - https://www.master-egei.eu/,https://www.master-egei.eu/,"Italy, Chile, Belgium, Spain, China, Estonia, France"
